ga:date,ga:medium,ga:source,ga:adCost
20201102,cpc,adzuna,893.03
20201102,cpc,bing,216.47
20201102,cpc,careerbliss,863.44
20201102,cpc,jobg8,497.43
20201102,cpc,joblookup,1.36
20201102,cpc,jobtome,66.56
20201102,cpc,MyJobHelper,178.88
20201103,cpc,adzuna,487.03
20201103,cpc,bing,165.11
20201103,cpc,careerbliss,740.89
20201103,cpc,jobg8,984.1
20201103,cpc,joblookup,5.67
20201103,cpc,jobtome,236.07
20201103,cpc,MyJobHelper,172
20201104,cpc,adzuna,152.57
20201104,cpc,bing,271.16
20201104,cpc,careerbliss,780.45
20201104,cpc,jobg8,722.52
20201104,cpc,joblookup,107.96
20201104,cpc,jobtome,277.95
20201104,cpc,MyJobHelper,325.51
20201105,cpc,adzuna,413.24
20201105,cpc,bing,363.96
20201105,cpc,careerbliss,533.63
20201105,cpc,jobg8,589.99
20201105,cpc,joblookup,104.1
20201105,cpc,jobtome,192.73
20201105,cpc,MyJobHelper,367.22
20201106,cpc,adzuna,909.75
20201106,cpc,bing,210.57
20201106,cpc,careerbliss,829.47
20201106,cpc,jobg8,292.84
20201106,cpc,joblookup,147.65
20201106,cpc,jobtome,151.7
20201106,cpc,MyJobHelper,316.91
20201107,cpc,adzuna,1471.35
20201107,cpc,bing,153.58
20201107,cpc,careerbliss,971.8
20201107,cpc,jobg8,227.35
20201107,cpc,joblookup,132.45
20201107,cpc,jobtome,108.79
20201107,cpc,MyJobHelper,266.17
20201108,cpc,adzuna,1916.74
20201108,cpc,bing,161.93
20201108,cpc,careerbliss,275.2
20201108,cpc,jobg8,200.9
20201108,cpc,joblookup,132.22
20201108,cpc,jobtome,161.94
20201108,cpc,MyJobHelper,197.8
