ga:date,ga:medium,ga:source,ga:adCost
20201130,cpc,adzuna,865.3
20201130,cpc,AllTheTopBananas,219.04
20201130,cpc,jobg8,1711.4955
20201130,cpc,joblookup,76.48
20201130,cpc,jobtome,49.24
20201130,cpc,MyJobHelper,657.55
20201201,cpc,adzuna,649.825
20201201,cpc,AllTheTopBananas,148.58
20201201,cpc,jobg8,1339.7215
20201201,cpc,joblookup,50.76
20201201,cpc,jobtome,23.09
20201201,cpc,MyJobHelper,792.29
20201202,cpc,adzuna,1021.275
20201202,cpc,AllTheTopBananas,25.89
20201202,cpc,careerbliss,13.58
20201202,cpc,jobg8,1431.4326
20201202,cpc,joblookup,54.71
20201202,cpc,jobtome,0
20201202,cpc,MyJobHelper,920.91
20201203,cpc,adzuna,1281.375
20201203,cpc,AllTheTopBananas,14.01
20201203,cpc,jobg8,1205.5953
20201203,cpc,joblookup,179.92
20201203,cpc,jobtome,0
20201203,cpc,MyJobHelper,385.11
20201204,cpc,adzuna,771.205
20201204,cpc,AllTheTopBananas,28.02
20201204,cpc,careerbliss,22.07
20201204,cpc,jobg8,1193.374
20201204,cpc,joblookup,89.11
20201204,cpc,jobtome,3.82
20201204,cpc,MyJobHelper,337.14
20201205,cpc,adzuna,1076.78
20201205,cpc,AllTheTopBananas,22.92
20201205,cpc,careerbliss,28.87
20201205,cpc,jobg8,737.386
20201205,cpc,joblookup,47.38
20201205,cpc,jobtome,117.93
20201205,cpc,MyJobHelper,348.34
20201206,cpc,adzuna,1219.75
20201206,cpc,AllTheTopBananas,21.65
20201206,cpc,jobg8,907.0464
20201206,cpc,joblookup,147.77
20201206,cpc,jobtome,39.14
20201206,cpc,MyJobHelper,364.82
