ga:date,ga:medium,ga:source,ga:adCost
20201110,cpc,MyJobHelper,310.03
20201110,cpc,MyJobHelper,383.21
20201111,cpc,MyJobHelper,385.37
20201112,cpc,MyJobHelper,465.04
20201113,cpc,MyJobHelper,327.35
20201114,cpc,MyJobHelper,209.14
20201115,cpc,MyJobHelper,285.78
20201116,cpc,MyJobHelper,521.16
20201117,cpc,MyJobHelper,373.67
20201118,cpc,MyJobHelper,363.35
20201119,cpc,MyJobHelper,315.19
20201120,cpc,MyJobHelper,398.18
20201121,cpc,MyJobHelper,260.58
20201122,cpc,MyJobHelper,334.54
20201116,cpc,ziprecruiter,103.2
20201117,cpc,ziprecruiter,18.92
20201118,cpc,ziprecruiter,12.9
20201119,cpc,ziprecruiter,7.74
20201120,cpc,ziprecruiter,14.62
20201121,cpc,ziprecruiter,12.04
20201122,cpc,ziprecruiter,12.04
