ga:date,ga:medium,ga:source,ga:adCost
20201109,cpc,adzuna,2697.6766
20201110,cpc,adzuna,1519.2238
20201111,cpc,adzuna,1726.4576
20201112,cpc,adzuna,1922.1736
20201113,cpc,adzuna,1911.5218
20201114,cpc,adzuna,1154.2048
20201115,cpc,adzuna,1013.7396
20201116,cpc,adzuna,1330.678
20201117,cpc,adzuna,1218.964
20201118,cpc,adzuna,1467.59
20201119,cpc,adzuna,1614.65
20201120,cpc,adzuna,1973.786
20201121,cpc,adzuna,1300.836
20201122,cpc,adzuna,1074.57
20201117,cpc,AllTheTopBananas,2.15
20201118,cpc,AllTheTopBananas,6.45
20201119,cpc,AllTheTopBananas,3.87
20201120,cpc,AllTheTopBananas,3.87
20201121,cpc,AllTheTopBananas,114.81
20201122,cpc,AllTheTopBananas,157.81
20201109,cpc,bing,112.9
20201110,cpc,bing,100.73
20201111,cpc,bing,133.31
20201112,cpc,bing,70.17
20201113,cpc,bing,73.81
20201114,cpc,bing,88.53
20201115,cpc,bing,63.45
20201109,cpc,careerbliss,566.8
20201110,cpc,careerbliss,65.82
20201111,cpc,careerbliss,36.37
20201112,cpc,careerbliss,22.52
20201113,cpc,careerbliss,12.12
20201114,cpc,careerbliss,8.23
20201115,cpc,careerbliss,98.55
20201116,cpc,careerbliss,127.71
20201117,cpc,careerbliss,8.17
20201118,cpc,careerbliss,19.35
20201119,cpc,careerbliss,24.08
20201120,cpc,careerbliss,0
20201121,cpc,careerbliss,6.88
20201110,cpc,craigslist,207.9
20201117,cpc,facebook,31.04
20201118,cpc,facebook,70.93
20201119,cpc,facebook,933.63
20201120,cpc,facebook,997.4
20201121,cpc,facebook,1000.62
20201122,cpc,facebook,1033.16
20201109,cpc,jobg8,792.43
20201110,cpc,jobg8,698.15
20201111,cpc,jobg8,452.8
20201112,cpc,jobg8,383.58
20201113,cpc,jobg8,239.39
20201114,cpc,jobg8,212.9
20201115,cpc,jobg8,273.18
20201116,cpc,jobg8,954.84
20201117,cpc,jobg8,925.64
20201118,cpc,jobg8,925.43
20201119,cpc,jobg8,974.24
20201120,cpc,jobg8,935.95
20201121,cpc,jobg8,742.68
20201122,cpc,jobg8,641.7
20201109,cpc,joblookup,128.9304
20201110,cpc,joblookup,136.4742
20201111,cpc,joblookup,132.1308
20201112,cpc,joblookup,157.0482
20201113,cpc,joblookup,125.2728
20201114,cpc,joblookup,101.0412
20201115,cpc,joblookup,115.9002
20201116,cpc,joblookup,97.67
20201117,cpc,joblookup,108.93
20201118,cpc,joblookup,195.79
20201119,cpc,joblookup,96.75
20201120,cpc,joblookup,142.71
20201121,cpc,joblookup,116.97
20201122,cpc,joblookup,42.97
20201109,cpc,jobtome,115.61
20201110,cpc,jobtome,97.43
20201111,cpc,jobtome,99.5
20201112,cpc,jobtome,110.16
20201113,cpc,jobtome,96.47
20201114,cpc,jobtome,48.76
20201115,cpc,jobtome,53.17
20201116,cpc,jobtome,93.74
20201117,cpc,jobtome,110.34
20201118,cpc,jobtome,83.94
20201119,cpc,jobtome,150.59
20201120,cpc,jobtome,618.25
20201121,cpc,jobtome,694.71
20201122,cpc,jobtome,446.51
20201110,cpc,MyJobHelper,310.03
20201110,cpc,MyJobHelper,383.21
20201111,cpc,MyJobHelper,385.37
20201112,cpc,MyJobHelper,465.04
20201113,cpc,MyJobHelper,327.35
20201114,cpc,MyJobHelper,209.14
20201115,cpc,MyJobHelper,285.78
20201116,cpc,MyJobHelper,521.16
20201117,cpc,MyJobHelper,373.67
20201118,cpc,MyJobHelper,363.35
20201119,cpc,MyJobHelper,315.19
20201120,cpc,MyJobHelper,398.18
20201121,cpc,MyJobHelper,260.58
20201122,cpc,MyJobHelper,334.54
20201116,cpc,ziprecruiter,103.2
20201117,cpc,ziprecruiter,18.92
20201118,cpc,ziprecruiter,12.9
20201119,cpc,ziprecruiter,7.74
20201120,cpc,ziprecruiter,14.62
20201121,cpc,ziprecruiter,12.04
20201122,cpc,ziprecruiter,12.04
