ga:date,ga:medium,ga:source,ga:adCost
20200716,cpc,lensa,86.4
20200716,experiment,facebook,122.08
20200717,cpc,lensa,89.1
20200718,cpc,lensa,78.3
20200719,cpc,lensa,56.7
20200720,cpc,lensa,97.2
20200721,cpc,lensa,67.5
20200722,cpc,lensa,35.1
20200723,cpc,lensa,40.5
20200724,cpc,lensa,27
20200725,cpc,lensa,43.2
20200726,cpc,lensa,45.9
20200727,cpc,lensa,64.8
20200728,cpc,lensa,56.7
20200729,cpc,lensa,54
20200730,cpc,lensa,29.7
20200731,cpc,lensa,27
20200801,cpc,lensa,5.4
20200802,cpc,lensa,18.9
20200803,cpc,lensa,13.5
20200804,cpc,lensa,24.3
20200805,cpc,lensa,21.6
20200806,cpc,lensa,24.3
20200807,cpc,lensa,13.5
20200808,cpc,lensa,5.4
20200809,cpc,lensa,18.9
20200810,cpc,lensa,18.9
20200811,cpc,lensa,16.2
20200812,cpc,lensa,27
20200813,cpc,lensa,21.6
20200814,cpc,lensa,21.6
20200815,cpc,lensa,10.8
20200816,cpc,lensa,16.2
20200817,cpc,lensa,18.9
20200818,cpc,lensa,32.4
20200819,cpc,lensa,24.3
20200820,cpc,lensa,16.2
20200821,cpc,bing,85.8
20200821,cpc,lensa,29.7
20200821,experiment,facebook,118.73
20200822,cpc,bing,172.19
20200822,cpc,lensa,16.2
20200822,experiment,facebook,322.03
20200823,cpc,bing,404.6
20200823,cpc,lensa,18.9
20200823,experiment,facebook,457.68
20200824,cpc,bing,1281.64
20200824,cpc,lensa,21.6
20200824,experiment,facebook,1766.55
20200825,cpc,bing,1486.15
20200825,cpc,lensa,22.5
20200825,experiment,facebook,1184.54
20200826,cpc,bing,1408.4
20200826,cpc,lensa,36
20200826,experiment,facebook,242.68
20200827,cpc,bing,1291.55
20200827,cpc,lensa,34.2
20200827,experiment,facebook,255.68
20200828,cpc,bing,1130.47
20200828,cpc,lensa,50.4
20200828,experiment,facebook,151.77
20200829,cpc,bing,764.89
20200829,cpc,lensa,16.2
20200829,experiment,facebook,142.27
20200830,cpc,bing,884.19
20200830,cpc,lensa,27.9
20200830,experiment,facebook,269.84
20200831,cpc,bing,1326.89
20200831,cpc,lensa,55.8
20200831,experiment,facebook,24.98
20200901,cpc,bing,1617.1
20200901,cpc,lensa,27
20200901,experiment,facebook,5998.84
20200902,cpc,bing,1474.32
20200902,cpc,lensa,27.9
20200902,experiment,facebook,2756.63
20200903,cpc,bing,956.17
20200903,cpc,lensa,23.4
20200903,experiment,facebook,376.4
20200904,cpc,bing,200.04
20200904,cpc,lensa,33.3
20200904,cpc,talent.com,1501.2
20200904,experiment,facebook,495.46
20200905,cpc,bing,161.25
20200905,cpc,lensa,28.8
20200905,cpc,talent.com,1502.1
20200905,experiment,facebook,1328.63
20200906,cpc,bing,178.99
20200906,cpc,lensa,44.1
20200906,cpc,talent.com,1503.9
20200906,experiment,facebook,1308.37
20200907,cpc,bing,267.49
20200907,cpc,lensa,6.3
20200907,cpc,talent.com,1500.3
20200907,experiment,facebook,711.05
20200908,cpc,bing,317.75
20200908,cpc,lensa,27.9
20200908,experiment,facebook,432.82
20200909,cpc,bing,312.59
20200909,cpc,lensa,31.5
20200909,experiment,facebook,433.21
20200910,cpc,bing,332.74
20200910,cpc,lensa,34.2
20200910,experiment,facebook,389.53
20200911,cpc,bing,267.68
20200911,cpc,lensa,60.3
20200911,experiment,facebook,540.8
