ga:date,ga:sourceMedium,ga:adCost
20201001,adzuna / cpc,17.10
20201001,bing / cpc,202.10
20201001,facebook / experiment,155.39
20201001,joblookup / cpc,1.38
20201001,jobtome / cpc,420.66
20201002,adzuna / cpc,57.15
20201002,bing / cpc,184.85
20201002,facebook / experiment,117.91
20201002,joblookup / cpc,8.63
20201002,jobtome / cpc,264.87
20201003,adzuna / cpc,1394.10
20201003,bing / cpc,134.09
20201003,facebook / experiment,145.35
20201003,joblookup / cpc,23.92
20201003,jobtome / cpc,124.65
20201004,adzuna / cpc,1224.90
20201004,bing / cpc,157.38
20201004,facebook / experiment,184.11
20201004,joblookup / cpc,33.35
20201004,jobtome / cpc,41.40
20201005,adzuna / cpc,26.10
20201005,bing / cpc,262.92
20201005,facebook / experiment,122.58
20201005,joblookup / cpc,5.50
20201005,jobtome / cpc,169.56
20201006,adzuna / cpc,18.90
20201006,bing / cpc,205.87
20201006,facebook / experiment,164.53
20201006,joblookup / cpc,45.90
20201006,jobtome / cpc,49.23
20201007,adzuna / cpc,0.00
20201007,bing / cpc,245.38
20201007,facebook / experiment,655.16
20201007,joblookup / cpc,17.10
20201007,jobtome / cpc,20.43
20201008,adzuna / cpc,27.00
20201008,bing / cpc,165.09
20201008,facebook / experiment,425.10
20201008,joblookup / cpc,15.80
20201008,jobtome / cpc,28.62
20201009,adzuna / cpc,177.30
20201009,bing / cpc,195.76
20201009,facebook / experiment,297.99
20201009,joblookup / cpc,5.60
20201009,jobtome / cpc,13.23
20201010,adzuna / cpc,108.90
20201010,bing / cpc,149.75
20201010,facebook / experiment,224.63
20201010,joblookup / cpc,2.80
20201010,jobtome / cpc,67.14
20201011,adzuna / cpc,158.40
20201011,bing / cpc,141.11
20201011,facebook / experiment,262.69
20201011,joblookup / cpc,0.00
