ga:date,ga:medium,ga:source,ga:adCost
20201026,cpc,jobtome,217.07
20201026,cpc,jobg8,568.56
20201026,cpc,adzuna,557.14
20201026,cpc,bing,214.54
20201027,cpc,jobtome,174.35
20201027,cpc,joblookup,143.52
20201027,cpc,careerbliss,6.05
20201027,cpc,jobg8,832.43
20201027,cpc,adzuna,425.42
20201027,cpc,bing,229.87
20201028,cpc,MyJobHelper,74.76
20201028,cpc,jobtome,181.47
20201028,cpc,joblookup,987.16
20201028,cpc,careerbliss,109.03
20201028,cpc,jobg8,1774.05
20201028,cpc,adzuna,1089.36
20201028,cpc,bing,166.94
20201029,cpc,MyJobHelper,81.88
20201029,cpc,jobtome,130.12
20201029,cpc,joblookup,338.215
20201029,cpc,careerbliss,1000.63
20201029,cpc,jobg8,2419.37
20201029,cpc,adzuna,968.32
20201029,cpc,bing,131.94
20201030,cpc,MyJobHelper,75.65
20201030,cpc,jobtome,114.19
20201030,cpc,joblookup,148.005
20201030,cpc,careerbliss,1023.86
20201030,cpc,jobg8,837.81
20201030,cpc,adzuna,571.38
20201030,cpc,bing,155.9
20201031,cpc,MyJobHelper,88.56
20201031,cpc,jobtome,83.22
20201031,cpc,joblookup,14.03
20201031,cpc,careerbliss,1015.94
20201031,cpc,jobg8,73.04
20201031,cpc,adzuna,954.97
20201031,cpc,bing,142.26
20201101,cpc,MyJobHelper,80.55
20201101,cpc,jobtome,55.36
20201101,cpc,joblookup,6.21
20201101,cpc,jobg8,276.2
20201101,cpc,adzuna,4074.865
20201101,cpc,bing,129.97
