ga:date,ga:medium,ga:source,ga:adCost
20201113,cpc,ziprecruiter,120.40
20201114,cpc,ziprecruiter,151.36
20201115,cpc,ziprecruiter,141.04
20201123,cpc,adzuna,1046.95
20201123,cpc,AllTheTopBananas,168.73
20201123,cpc,jobg8,66.99
20201123,cpc,joblookup,160.15
20201123,cpc,jobtome,472.69
20201123,cpc,MyJobHelper,290.70
20201123,cpc,ziprecruiter,10.20
20201124,cpc,adzuna,1050.77
20201124,cpc,AllTheTopBananas,178.08
20201124,cpc,jobg8,48.72
20201124,cpc,joblookup,83.02
20201124,cpc,jobtome,797.98
20201124,cpc,MyJobHelper,233.75
20201124,cpc,ziprecruiter,16.15
20201125,cpc,adzuna,833.26
20201125,cpc,AllTheTopBananas,87.98
20201125,cpc,jobg8,42.63
20201125,cpc,joblookup,104.28
20201125,cpc,jobtome,470.31
20201125,cpc,MyJobHelper,317.22
20201125,cpc,ziprecruiter,10.20
20201126,cpc,adzuna,280.25
20201126,cpc,AllTheTopBananas,46.33
20201126,cpc,jobg8,27.41
20201126,cpc,joblookup,174.63
20201126,cpc,jobtome,218.28
20201126,cpc,MyJobHelper,339.83
20201126,cpc,ziprecruiter,7.65
20201126,cpc8,jobg8,821.95
20201127,cpc,adzuna,290.28
20201127,cpc,AllTheTopBananas,126.23
20201127,cpc,jobg8,821.03
20201127,cpc,joblookup,112.65
20201127,cpc,jobtome,80.84
20201127,cpc,MyJobHelper,453.82
20201127,cpc,ziprecruiter,7.65
20201127,cpc8,jobg8,907.71
20201128,cpc,adzuna,343.40
20201128,cpc,AllTheTopBananas,150.88
20201128,cpc,jobg8,928.22
20201128,cpc,joblookup,81.43
20201128,cpc,jobtome,24.65
20201128,cpc,MyJobHelper,520.88
20201128,cpc,ziprecruiter,12.75
20201128,cpc8,jobg8,783.28
20201129,cpc,adzuna,513.40
20201129,cpc,AllTheTopBananas,169.15
20201129,cpc,jobg8,913.40
20201129,cpc,joblookup,135.72
20201129,cpc,jobtome,61.03
20201129,cpc,MyJobHelper,634.70
20201129,cpc,ziprecruiter,5.10
20201129,cpc8,jobg8,636.51
